date,state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrolments
2025-05-01,Maharashtra,Yavatmal,445205,85,14,19,118
2025-05-01,Maharashtra,Washim,444505,198,20,10,228
2025-05-01,Maharashtra,Parbhani,431401,326,72,21,419
2025-05-01,Maharashtra,Mumbai Suburban,400101,61,37,17,115
2025-05-01,Maharashtra,Nagpur,440023,77,10,10,97
2025-05-01,Maharashtra,Sangli,416410,160,45,20,225
2025-06-01,Maharashtra,Dhule,425408,131,55,11,197
2025-06-01,Maharashtra,Thane,421302,560,446,13,1019
2025-06-01,Maharashtra,Hingoli,431712,261,62,14,337
2025-06-01,Maharashtra,Sangli,416410,240,105,11,356
2025-06-01,Maharashtra,Thane,401107,343,288,15,646
2025-06-01,Maharashtra,Thane,400708,180,88,14,282
2025-06-01,Maharashtra,Dhule,424305,64,28,32,124
2025-06-01,Maharashtra,Nanded,431704,146,24,11,181
2025-06-01,Maharashtra,Buldhana,443001,306,51,11,368
2025-06-01,Maharashtra,Amravati,444601,280,77,11,368
2025-06-01,Maharashtra,Thane,421501,146,98,21,265
2025-06-01,Maharashtra,Dhule,424304,122,100,76,298
2025-06-01,Maharashtra,Thane,400703,44,20,32,96
2025-06-01,Maharashtra,Thane,400612,430,432,28,890
2025-06-01,Maharashtra,Thane,421503,264,158,20,442
2025-06-01,Maharashtra,Latur,413517,390,140,15,545
2025-06-01,Maharashtra,Beed,431123,175,81,13,269
2025-06-01,Maharashtra,Palghar,401209,252,252,10,514
2025-06-01,Maharashtra,Nanded,431715,286,100,17,403
2025-06-01,Maharashtra,Thane,400604,141,86,10,237
2025-06-01,Maharashtra,Thane,400701,99,58,16,173
2025-06-01,Maharashtra,Chandrapur,442401,198,24,10,232
2025-06-01,Maharashtra,Beed,431122,484,213,33,730
2025-06-01,Maharashtra,Satara,415523,136,55,10,201
2025-06-01,Maharashtra,Thane,400706,84,34,30,148
2025-06-01,Maharashtra,Dhule,425405,315,216,13,544
2025-06-01,Maharashtra,Pune,411014,142,83,11,236
2025-06-01,Maharashtra,Thane,400709,88,32,12,132
2025-06-01,Maharashtra,Dhule,424306,161,85,79,325
2025-07-01,Maharashtra,Buldhana,443001,434,74,18,526
2025-07-01,Maharashtra,Sangli,416412,183,156,12,351
2025-07-01,Maharashtra,Dhule,425405,500,416,35,951
2025-07-01,Maharashtra,Mumbai Suburban,400043,854,758,25,1637
2025-07-01,Maharashtra,Pune,411001,159,70,14,243
2025-07-01,Maharashtra,Nanded,431714,341,126,14,481
2025-07-01,Maharashtra,Thane,421501,181,137,36,354
2025-07-01,Maharashtra,Satara,415523,327,116,16,459
2025-07-01,Maharashtra,Ahmednagar,414105,92,64,16,172
2025-07-01,Maharashtra,Mumbai Suburban,400059,125,69,11,205
2025-07-01,Maharashtra,Buldhana,443103,198,84,22,304
2025-07-01,Maharashtra,Nanded,431708,372,135,10,517
2025-07-01,Maharashtra,Hingoli,431702,297,71,18,386
2025-07-01,Maharashtra,Thane,421503,361,322,27,710
2025-07-01,Maharashtra,Jalgaon,425301,161,56,10,227
2025-07-01,Maharashtra,Mumbai,400022,114,92,12,218
2025-07-01,Maharashtra,Hingoli,431701,349,93,13,455
2025-07-01,Maharashtra,Mumbai Suburban,400074,148,64,12,224
2025-07-01,Maharashtra,Nandurbar,425432,344,195,16,555
2025-07-01,Maharashtra,Hingoli,431705,371,116,31,518
2025-07-01,Maharashtra,Nagpur,440024,244,70,13,327
2025-07-01,Maharashtra,Dhule,424304,263,240,37,540
2025-07-01,Maharashtra,Nagpur,440017,412,86,14,512
2025-07-01,Maharashtra,Mumbai Suburban,400072,495,364,23,882
2025-07-01,Maharashtra,Dhule,425428,209,144,14,367
2025-07-01,Maharashtra,Mumbai Suburban,400071,186,95,20,301
2025-07-01,Maharashtra,Sangli,416413,125,85,12,222
2025-07-01,Maharashtra,Thane,421306,385,304,10,699
2025-07-01,Maharashtra,Mumbai Suburban,400076,69,24,18,111
2025-07-01,Maharashtra,Pune,412211,78,36,14,128
2025-07-01,Maharashtra,Mumbai,400037,336,227,11,574
2025-07-01,Maharashtra,Pune,411023,103,26,12,141
2025-07-01,Maharashtra,Nashik,422003,475,261,13,749
2025-07-01,Maharashtra,Pune,411028,269,134,13,416
2025-07-01,Maharashtra,Pune,411038,278,66,19,363
2025-07-01,Maharashtra,Jalgaon,425002,260,74,12,346
2025-07-01,Maharashtra,Beed,431124,214,86,10,310
2025-07-01,Maharashtra,Hingoli,431512,548,153,13,714
2025-07-01,Maharashtra,Nashik,423212,251,134,18,403
2025-07-01,Maharashtra,Mumbai Suburban,400088,189,81,11,281
2025-07-01,Maharashtra,Dhule,424305,158,126,15,299
2025-07-01,Maharashtra,Pune,411048,350,239,11,600
2025-07-01,Maharashtra,Pune,411045,158,49,18,225
2025-07-01,Maharashtra,Pune,411014,280,114,17,411
2025-07-01,Maharashtra,Solapur,413307,201,87,12,300
2025-07-01,Maharashtra,Akola,444101,390,205,42,637
2025-07-01,Maharashtra,Amravati,444601,523,148,13,684
2025-07-01,Maharashtra,Thane,421302,1309,905,24,2238
2025-07-01,Maharashtra,Thane,401107,399,469,20,888
2025-07-01,Maharashtra,Pune,413102,305,104,24,433
2025-07-01,Maharashtra,Hingoli,431513,680,216,37,933
2025-07-01,Maharashtra,Nashik,423203,1476,1183,41,2700
2025-07-01,Maharashtra,Dhule,424306,280,181,26,487
2025-07-01,Maharashtra,Nagpur,440013,248,69,10,327
2025-07-01,Maharashtra,Buldhana,443201,373,94,31,498
2025-07-01,Maharashtra,Pune,411042,221,87,10,318
2025-07-01,Maharashtra,Pune,412218,58,30,12,100
2025-07-01,Maharashtra,Pune,412210,127,57,21,205
2025-07-01,Maharashtra,Mumbai Suburban,400053,96,73,10,179
2025-07-01,Maharashtra,Latur,413517,566,225,28,819
2025-07-01,Maharashtra,Nashik,422209,167,35,13,215
2025-07-01,Maharashtra,Thane,400612,723,690,15,1428
2025-07-01,Maharashtra,Nandurbar,425409,481,176,24,681
2025-07-01,Maharashtra,Osmanabad,413606,275,105,10,390
2025-07-01,Maharashtra,Pune,411052,87,17,10,114
2025-07-01,Maharashtra,Pune,412308,181,85,20,286
2025-07-01,Maharashtra,Beed,431122,801,343,35,1179
2025-07-01,Maharashtra,Nashik,422303,82,33,13,128
2025-07-01,Maharashtra,Mumbai Suburban,400050,88,49,24,161
2025-07-01,Maharashtra,Mumbai Suburban,400078,296,173,14,483
2025-07-01,Maharashtra,Pune,411021,110,55,11,176
2025-07-01,Maharashtra,Jalgaon,425001,644,213,33,890
2025-07-01,Maharashtra,Sangli,416410,356,196,12,564
2025-07-01,Maharashtra,Nanded,431802,346,66,12,424
2025-07-01,Maharashtra,Mumbai Suburban,400070,331,260,14,605
2025-07-01,Maharashtra,Nanded,431804,236,135,10,381
2025-07-01,Maharashtra,Thane,421301,678,338,10,1026
2025-07-01,Maharashtra,Nandurbar,425414,563,414,24,1001
2025-07-01,Maharashtra,Beed,431127,294,248,15,557
2025-07-01,Maharashtra,Palghar,401208,324,480,12,816
2025-07-01,Maharashtra,Nashik,422103,278,129,13,420
2025-07-01,Maharashtra,Yavatmal,445205,197,75,11,283
2025-07-01,Maharashtra,Solapur,413109,101,56,10,167
2025-07-01,Maharashtra,Ahmednagar,413705,90,94,12,196
2025-07-01,Maharashtra,Mumbai Suburban,400080,138,55,11,204
2025-07-01,Maharashtra,Raigad,410206,845,296,25,1166
2025-07-01,Maharashtra,Yavatmal,445215,272,133,14,419
2025-07-01,Maharashtra,Pune,411046,275,147,13,435
2025-07-01,Maharashtra,Beed,414203,163,62,12,237
2025-07-01,Maharashtra,Aurangabad,431001,2262,1549,24,3835
2025-07-01,Maharashtra,Pune,411058,79,28,10,117
2025-07-01,Maharashtra,Pune,411006,171,67,13,251
2025-07-01,Maharashtra,Pune,413106,111,38,11,160
2025-07-01,Maharashtra,Palghar,421303,260,127,14,401
2025-07-01,Maharashtra,Chandrapur,442401,306,86,11,403
2025-07-01,Maharashtra,Sangli,416404,294,151,12,457
2025-07-01,Maharashtra,Washim,444505,378,68,11,457
2025-07-01,Maharashtra,Nandurbar,425412,643,209,11,863
2025-07-01,Maharashtra,Mumbai Suburban,400051,172,112,14,298
2025-07-01,Maharashtra,Yavatmal,445204,389,197,14,600
2025-07-01,Maharashtra,Buldhana,444301,98,24,12,134
2025-07-01,Maharashtra,Pune,411041,245,103,18,366
2025-10-17,Maharashtra,Aurangabad,431001,81,29,0,110
2025-10-17,Maharashtra,Nashik,423203,72,43,0,115
2025-12-31,Maharashtra,Nashik,423203,46,54,0,100
2025-10-30,Maharashtra,Aurangabad,431001,84,24,0,108
2025-11-02,Maharashtra,Aurangabad,431001,91,32,0,123
2025-11-15,Maharashtra,Aurangabad,431001,72,28,0,100
2025-11-15,Maharashtra,Nashik,423203,90,46,0,136
2025-11-15,Maharashtra,Thane,421302,83,18,0,101
2025-11-19,Maharashtra,Nashik,423203,94,35,0,129
2025-12-15,Maharashtra,Aurangabad,431001,100,30,0,130
2025-12-15,Maharashtra,Thane,421302,87,16,1,104
2025-12-22,Maharashtra,Aurangabad,431001,116,0,0,116
2025-12-22,Maharashtra,Nashik,423203,106,1,0,107
2025-03-09,Haryana,Faridabad,121004,80,60,10,150
2025-04-01,Haryana,Gurgaon,122002,68,47,14,129
2025-04-01,Haryana,Faridabad,121004,1047,215,15,1277
2025-04-01,Haryana,Faridabad,121002,244,75,10,329
2025-04-01,Haryana,Gurgaon,122001,426,145,22,593
2025-05-01,Haryana,Mewat,122508,1169,147,11,1327
2025-05-01,Haryana,Faridabad,121004,898,224,19,1141
2025-05-01,Haryana,Gurgaon,122001,512,143,13,668
2025-05-01,Haryana,Faridabad,121001,460,87,13,560
2025-06-01,Haryana,Faridabad,121001,421,86,18,525
2025-06-01,Haryana,Faridabad,121002,197,84,14,295
2025-06-01,Haryana,Kaithal,136027,406,19,10,435
2025-06-01,Haryana,Sonipat,131001,360,46,23,429
2025-06-01,Haryana,Faridabad,121004,920,243,30,1193
2025-06-01,Haryana,Gurugram,122002,62,35,43,140
2025-06-01,Haryana,Rohtak,124001,420,56,52,528
2025-06-01,Haryana,Nuh,122508,902,150,27,1079
2025-06-01,Haryana,Nuh,122108,349,63,15,427
2025-06-01,Haryana,Ambala,134003,245,23,13,281
2025-06-01,Haryana,Faridabad,121003,160,70,21,251
2025-06-01,Haryana,Panipat,132103,776,87,14,877
2025-06-01,Haryana,Gurugram,122001,472,172,38,682
2025-06-01,Haryana,Hisar,125001,350,46,10,406
2025-07-01,Haryana,Panipat,132103,1344,169,10,1523
2025-07-01,Haryana,Gurugram,122004,150,42,10,202
2025-07-01,Haryana,Gurugram,122002,107,46,46,199
2025-07-01,Haryana,Gurugram,122001,676,248,47,971
2025-07-01,Haryana,Faridabad,121004,1528,351,27,1906
2025-07-01,Haryana,Faridabad,121001,656,170,15,841
2025-07-01,Haryana,Gurugram,122103,319,63,10,392
2025-07-01,Haryana,Faridabad,121003,494,212,12,718
2025-03-09,Rajasthan,Sikar,332001,41,36,17,94
2025-04-01,Rajasthan,Jalor,343049,54,27,14,95
2025-04-01,Rajasthan,Jodhpur,342301,210,101,12,323
2025-04-01,Rajasthan,Dholpur,328022,222,95,10,327
2025-04-01,Rajasthan,Jalor,343040,98,88,11,197
2025-04-01,Rajasthan,Nagaur,341025,118,54,10,182
2025-04-01,Rajasthan,Sikar,332709,141,29,10,180
2025-04-01,Rajasthan,Churu,331403,316,141,12,469
2025-04-01,Rajasthan,Jalor,343001,189,63,11,263
2025-04-01,Rajasthan,Jalor,343041,278,251,13,542
2025-04-01,Rajasthan,Jaipur,302012,781,198,21,1000
2025-04-01,Rajasthan,Dholpur,328001,236,108,16,360
2025-04-01,Rajasthan,Jodhpur,342303,164,37,10,211
2025-04-01,Rajasthan,Jaipur,302001,128,39,13,180
2025-04-01,Rajasthan,Sirohi,307026,279,148,47,474
2025-04-01,Rajasthan,Dholpur,328021,290,98,13,401
2025-04-01,Rajasthan,Bundi,323022,60,36,14,110
2025-04-01,Rajasthan,Bikaner,334001,552,261,16,829
2025-04-01,Rajasthan,Dungarpur,314030,66,83,13,162
2025-04-01,Rajasthan,Bharatpur,321204,240,37,10,287
2025-04-01,Rajasthan,Alwar,301405,138,37,13,188
2025-04-01,Rajasthan,Jaipur,303012,144,37,11,192
2025-04-01,Rajasthan,Jalor,343029,207,84,41,332
2025-04-01,Rajasthan,Jaipur,302002,367,64,26,457
2025-04-01,Rajasthan,Baran,325205,255,37,15,307
2025-04-01,Rajasthan,Sirohi,307024,70,62,20,152
2025-04-01,Rajasthan,Bundi,323802,98,18,11,127
2025-04-01,Rajasthan,Karauli,322230,348,105,12,465
2025-04-01,Rajasthan,Jhalawar,326038,112,49,12,173
2025-04-01,Rajasthan,Jodhpur,342306,219,90,13,322
2025-04-01,Rajasthan,Jalor,307029,114,44,13,171
2025-04-01,Rajasthan,Jodhpur,342001,770,191,31,992
2025-04-01,Rajasthan,Alwar,301001,646,172,26,844
2025-04-01,Rajasthan,Jaipur,302020,164,75,12,251
2025-04-01,Rajasthan,Ajmer,305001,522,121,22,665
2025-04-01,Rajasthan,Nagaur,341001,445,224,22,691
2025-04-01,Rajasthan,Udaipur,307025,70,47,15,132
2025-04-01,Rajasthan,Jaipur,302003,351,64,15,430
2025-04-01,Rajasthan,Bundi,323001,179,39,10,228
2025-04-01,Rajasthan,Jodhpur,342311,147,81,10,238
2025-04-01,Rajasthan,Sikar,332311,110,33,12,155
2025-04-01,Rajasthan,Jodhpur,342302,114,65,11,190
2025-04-01,Rajasthan,Jaipur,302017,175,71,12,258
2025-04-01,Rajasthan,Jalor,343030,116,34,11,161
2025-04-01,Rajasthan,Jalor,343032,130,81,10,221
2025-04-01,Rajasthan,Jaipur,302004,209,54,31,294
2025-04-01,Rajasthan,Jaipur,302016,282,69,21,372
2025-04-01,Rajasthan,Ajmer,305901,485,75,14,574
2025-04-01,Rajasthan,Dholpur,328025,199,46,11,256
2025-04-01,Rajasthan,Baran,325220,124,23,10,157
2025-04-01,Rajasthan,Pali,306421,138,38,11,187
2025-05-01,Rajasthan,Sirohi,307026,246,301,10,557
2025-05-01,Rajasthan,Bikaner,334001,421,164,20,605
2025-05-01,Rajasthan,Alwar,301001,610,179,10,799
2025-05-01,Rajasthan,Jodhpur,342001,595,190,15,800
2025-05-01,Rajasthan,Jaipur,302013,120,70,10,200
2025-06-01,Rajasthan,Jaisalmer,345028,46,74,14,134
2025-06-01,Rajasthan,Bhilwara,311603,62,31,10,103
2025-06-01,Rajasthan,Nagaur,341001,554,363,10,927
2025-06-01,Rajasthan,Barmer,344702,684,259,10,953
2025-06-01,Rajasthan,Churu,331403,253,269,13,535
2025-06-01,Rajasthan,Bikaner,334001,511,287,20,818
2025-06-01,Rajasthan,Sirohi,307026,216,289,28,533
2025-06-01,Rajasthan,Jodhpur,342001,520,204,27,751
2025-06-01,Rajasthan,Alwar,301001,670,240,13,923
2025-06-01,Rajasthan,Bikaner,331803,210,252,13,475
2025-06-01,Rajasthan,Bhilwara,311001,368,86,10,464
2025-07-01,Rajasthan,Jalore,343001,296,181,13,490
2025-07-01,Rajasthan,Jodhpur,342301,391,346,10,747
2025-07-01,Rajasthan,Sirohi,307024,172,278,16,466
2025-07-01,Rajasthan,Karauli,322230,612,323,11,946
2025-07-01,Rajasthan,Jaipur,302012,840,338,11,1189
2025-07-01,Rajasthan,Bharatpur,321203,320,274,11,605
2025-07-01,Rajasthan,Chittorgarh,312901,210,214,16,440
2025-07-01,Rajasthan,Tonk,304001,635,332,19,986
2025-07-01,Rajasthan,Chittorgarh,312022,311,275,11,597
2025-07-01,Rajasthan,Sikar,332001,461,178,11,650
2025-07-01,Rajasthan,Churu,331022,343,263,11,617
2025-07-01,Rajasthan,Jaipur,302017,260,141,22,423
2025-07-01,Rajasthan,Hanumangarh,335523,456,284,11,751
2025-07-01,Rajasthan,Ajmer,305001,673,241,18,932
2025-07-01,Rajasthan,Bundi,323022,121,85,17,223
2025-07-01,Rajasthan,Jodhpur,342001,1292,457,46,1795
2025-07-01,Rajasthan,Churu,331001,305,196,10,511
2025-07-01,Rajasthan,Sirohi,307026,495,667,38,1200
2025-07-01,Rajasthan,Alwar,301001,1098,512,19,1629
2025-07-01,Rajasthan,Bhilwara,311605,179,126,12,317
2025-07-01,Rajasthan,Jaipur,302004,281,131,18,430
2025-07-01,Rajasthan,Bhilwara,311804,298,206,10,514
2025-07-01,Rajasthan,Bharatpur,321001,899,484,10,1393
2025-07-01,Rajasthan,Sirohi,307022,507,526,18,1051
2025-07-01,Rajasthan,Bikaner,334001,763,452,30,1245
2025-07-01,Rajasthan,Jaipur,302003,339,178,10,527
2025-07-01,Rajasthan,Udaipur,313001,511,323,21,855
2025-07-01,Rajasthan,Dholpur,328021,467,247,13,727
2025-07-01,Rajasthan,Sawai Madhopur,322201,593,307,10,910
2025-07-01,Rajasthan,Baran,325220,336,91,10,437
2025-07-01,Rajasthan,Churu,331403,424,569,29,1022
2025-07-01,Rajasthan,Alwar,301411,739,367,22,1128
2025-07-01,Rajasthan,Nagaur,341001,870,660,21,1551
2025-07-01,Rajasthan,Chittorgarh,312601,314,212,13,539
2025-07-01,Rajasthan,Jaipur,302016,267,176,15,458
2025-07-01,Rajasthan,Jaipur,302020,255,146,10,411
2025-11-13,Rajasthan,Jodhpur,342001,21,20,52,93
2025-11-15,Rajasthan,Jodhpur,342001,65,22,15,102
2025-11-19,Rajasthan,Jalor,343041,66,50,0,116
2025-12-15,Rajasthan,Jalor,343041,31,79,0,110
2025-12-31,Rajasthan,Bikaner,334001,41,54,4,99
2025-12-31,Rajasthan,Jalor,343041,33,97,0,130
2025-03-20,Punjab,Ludhiana,141007,104,13,14,131
2025-04-01,Punjab,Ludhiana,141007,374,110,25,509
2025-04-01,Punjab,Ludhiana,141012,52,22,10,84
2025-04-01,Punjab,Kapurthala,144401,138,37,51,226
2025-04-01,Punjab,Ludhiana,141010,144,77,23,244
2025-04-01,Punjab,Ludhiana,142026,102,17,12,131
2025-04-01,Punjab,Amritsar,143110,71,23,14,108
2025-04-01,Punjab,Amritsar,143001,888,186,40,1114
2025-04-01,Punjab,Ludhiana,141015,130,80,18,228
2025-04-01,Punjab,Ludhiana,141008,419,181,20,620
2025-04-01,Punjab,Sangrur,148001,145,11,10,166
2025-04-01,Punjab,Hoshiarpur,146001,267,35,34,336
2025-04-01,Punjab,Gurdaspur,143505,233,36,49,318
2025-04-01,Punjab,Ludhiana,141001,328,122,31,481
2025-04-01,Punjab,SAS Nagar (Mohali),140301,204,65,11,280
2025-04-01,Punjab,Kapurthala,144601,164,28,254,446
2025-04-01,Punjab,Ludhiana,141013,85,19,10,114
2025-04-01,Punjab,Ludhiana,141003,207,106,35,348
2025-05-01,Punjab,Hoshiarpur,146001,197,48,18,263
2025-05-01,Punjab,Kapurthala,144401,113,40,15,168
2025-05-01,Punjab,Kapurthala,144601,120,27,81,228
2025-05-01,Punjab,Gurdaspur,143521,114,20,13,147
2025-05-01,Punjab,Ludhiana,141015,96,72,15,183
2025-05-01,Punjab,Amritsar,143001,664,284,26,974
2025-05-01,Punjab,Ludhiana,141003,210,86,10,306
2025-05-01,Punjab,Patiala,147001,456,125,23,604
2025-05-01,Punjab,Ludhiana,141008,330,149,10,489
2025-05-01,Punjab,Ludhiana,141007,240,151,14,405
2025-06-01,Punjab,Ludhiana,141007,257,159,17,433
2025-06-01,Punjab,Kapurthala,144401,68,37,12,117
2025-06-01,Punjab,Ludhiana,141015,97,77,11,185
2025-06-01,Punjab,Kapurthala,144601,114,30,56,200
2025-06-01,Punjab,Hoshiarpur,146001,234,59,20,313
2025-06-01,Punjab,Ludhiana,141008,274,145,12,431
2025-06-01,Punjab,S.A.S Nagar,140301,193,75,14,282
2025-06-01,Punjab,Ludhiana,141001,237,125,10,372
2025-06-01,Punjab,Ludhiana,141003,188,125,26,339
2025-07-01,Punjab,Gurdaspur,143505,549,99,10,658
2025-07-01,Punjab,Kapurthala,144601,178,39,137,354
2025-07-01,Punjab,Patiala,147001,766,237,18,1021
2025-07-01,Punjab,Ludhiana,141010,168,148,24,340
2025-07-01,Punjab,Kapurthala,144401,146,35,40,221
2025-07-01,Punjab,Amritsar,143001,1293,400,24,1717
2025-07-01,Punjab,Ludhiana,141008,385,224,30,639
2025-07-01,Punjab,S.A.S Nagar,140301,300,89,34,423
2025-07-01,Punjab,Ludhiana,141012,88,39,11,138
2025-07-01,Punjab,Ludhiana,141002,78,20,12,110
2025-07-01,Punjab,Ludhiana,141001,384,196,24,604
2025-07-01,Punjab,Tarn Taran,143401,341,34,11,386
2025-07-01,Punjab,Ludhiana,142026,106,25,20,151
2025-07-01,Punjab,Ludhiana,141003,324,175,51,550
2025-07-01,Punjab,Ludhiana,141014,61,92,13,166
2025-07-01,Punjab,Hoshiarpur,146001,277,66,22,365
2025-07-01,Punjab,Ludhiana,141007,418,214,36,668
2025-11-02,Punjab,Amritsar,143001,65,22,0,87
2025-04-01,Delhi,North West Delhi,110040,221,134,28,383
2025-04-01,Delhi,North West Delhi,110085,387,114,13,514
2025-04-01,Delhi,West Delhi,110059,974,344,151,1469
2025-04-01,Delhi,South West Delhi,110045,314,95,22,431
2025-04-01,Delhi,East Delhi,110092,676,221,15,912
2025-04-01,Delhi,North West Delhi,110034,295,101,13,409
2025-04-01,Delhi,West Delhi,110018,275,96,32,403
2025-04-01,Delhi,Shahdara,110032,208,98,13,319
2025-04-01,Delhi,South Delhi,110074,253,102,10,365
2025-05-01,Delhi,East Delhi,110051,185,67,19,271
2025-05-01,Delhi,East Delhi,110092,485,213,36,734
2025-05-01,Delhi,East Delhi,110095,299,62,12,373
2025-05-01,Delhi,North West Delhi,110034,198,110,13,321
2025-05-01,Delhi,Central Delhi,110055,155,83,10,248
2025-05-01,Delhi,South West Delhi,110045,309,117,25,451
2025-05-01,Delhi,North West Delhi,110040,170,141,12,323
2025-05-01,Delhi,West Delhi,110059,1094,373,140,1607
2025-05-01,Delhi,West Delhi,110018,317,120,32,469
2025-06-01,Delhi,South Delhi,110062,452,188,10,650
2025-06-01,Delhi,West Delhi,110059,1193,403,199,1795
2025-06-01,Delhi,East Delhi,110091,305,113,12,430
2025-06-01,Delhi,East Delhi,110092,355,186,14,555
2025-06-01,Delhi,South West Delhi,110045,202,90,29,321
2025-06-01,Delhi,North Delhi,110040,151,151,11,313
2025-06-01,Delhi,North Delhi,110039,181,93,11,285
2025-06-01,Delhi,West Delhi,110018,249,132,29,410
2025-06-01,Delhi,North West Delhi,110034,217,96,16,329
2025-06-01,Delhi,North East Delhi,110094,998,569,10,1577
2025-06-01,Delhi,North West Delhi,110085,371,88,10,469
2025-07-01,Delhi,South Delhi,110017,199,83,23,305
2025-07-01,Delhi,North West Delhi,110034,372,126,16,514
2025-07-01,Delhi,East Delhi,110092,792,290,43,1125
2025-07-01,Delhi,East Delhi,110091,527,214,12,753
2025-07-01,Delhi,South West Delhi,110045,468,207,29,704
2025-07-01,Delhi,North East Delhi,110094,1826,1029,19,2874
2025-07-01,Delhi,South Delhi,110030,231,105,21,357
2025-07-01,Delhi,North West Delhi,110085,486,141,30,657
2025-07-01,Delhi,Central Delhi,110007,285,89,14,388
2025-07-01,Delhi,West Delhi,110018,753,205,32,990
2025-07-01,Delhi,North Delhi,110039,279,118,13,410
2025-07-01,Delhi,West Delhi,110059,1538,640,122,2300
2025-07-01,Delhi,West Delhi,110041,961,317,11,1289
2025-07-01,Delhi,North Delhi,110040,284,191,16,491
2025-07-01,Delhi,Shahdara,110032,545,239,15,799
2025-07-01,Delhi,New Delhi,110037,173,109,22,304
2025-07-01,Delhi,West Delhi,110015,304,107,12,423
2025-07-01,Delhi,West Delhi,110027,243,95,12,350
2025-07-01,Delhi,Central Delhi,110005,200,80,17,297
2025-07-01,Delhi,Central Delhi,110055,185,126,10,321
2025-07-01,Delhi,North East Delhi,110053,1042,554,12,1608
2025-04-01,Madhya Pradesh,Ashok Nagar,473335,125,29,22,176
2025-04-01,Madhya Pradesh,Ashok Nagar,473443,141,57,15,213
2025-04-01,Madhya Pradesh,Bhind,477116,142,60,32,234
2025-04-01,Madhya Pradesh,Bhind,477001,391,92,27,510
2025-04-01,Madhya Pradesh,Betul,460001,193,20,10,223
2025-04-01,Madhya Pradesh,Guna,473101,110,32,11,153
2025-04-01,Madhya Pradesh,Khargone,451001,166,37,12,215
2025-04-01,Madhya Pradesh,Guna,473001,523,88,20,631
2025-04-01,Madhya Pradesh,Chhatarpur,471313,185,75,10,270
2025-04-01,Madhya Pradesh,Morena,476221,122,63,13,198
2025-04-01,Madhya Pradesh,Jabalpur,482003,125,23,11,159
2025-04-01,Madhya Pradesh,Barwani,451551,497,313,10,820
2025-04-01,Madhya Pradesh,Morena,476115,155,87,25,267
2025-04-01,Madhya Pradesh,Morena,476001,479,160,25,664
2025-04-01,Madhya Pradesh,Chhatarpur,471405,178,103,10,291
2025-04-01,Madhya Pradesh,Ashok Nagar,473446,76,53,13,142
2025-04-01,Madhya Pradesh,Raisen,464886,119,44,10,173
2025-04-01,Madhya Pradesh,Katni,483770,236,24,10,270
2025-04-01,Madhya Pradesh,Jhabua,457661,247,212,29,488
2025-04-01,Madhya Pradesh,Indore,452002,217,38,10,265
2025-04-01,Madhya Pradesh,Chhatarpur,471625,105,39,10,154
2025-04-01,Madhya Pradesh,Bhopal,462003,138,24,10,172
2025-04-01,Madhya Pradesh,Gwalior,475110,313,172,46,531
2025-04-01,Madhya Pradesh,Datia,475661,237,55,10,302
2025-04-01,Madhya Pradesh,Katni,483332,117,16,10,143
2025-04-01,Madhya Pradesh,Sagar,470001,183,26,12,221
2025-04-01,Madhya Pradesh,Sheopur,476337,172,125,13,310
2025-04-01,Madhya Pradesh,Dhar,454660,101,27,10,138
2025-04-01,Madhya Pradesh,Shivpuri,473551,193,105,51,349
2025-04-01,Madhya Pradesh,Vidisha,464221,454,57,23,534
2025-04-01,Madhya Pradesh,Burhanpur,450332,111,31,11,153
2025-04-01,Madhya Pradesh,Indore,452001,396,105,27,528
2025-04-01,Madhya Pradesh,Jhabua,457779,219,160,19,398
2025-04-01,Madhya Pradesh,Burhanpur,450221,91,29,18,138
2025-04-01,Madhya Pradesh,Burhanpur,450331,345,95,71,511
2025-04-01,Madhya Pradesh,Dhar,454001,253,74,75,402
2025-04-01,Madhya Pradesh,Khargone,451332,294,93,12,399
2025-04-01,Madhya Pradesh,Morena,476111,271,149,19,439
2025-04-01,Madhya Pradesh,Panna,488441,107,33,19,159
2025-04-01,Madhya Pradesh,Raisen,464551,291,39,12,342
2025-04-01,Madhya Pradesh,Indore,452009,217,62,11,290
2025-04-01,Madhya Pradesh,Khandwa,450117,271,133,16,420
2025-04-01,Madhya Pradesh,Satna,485001,368,55,14,437
2025-04-01,Madhya Pradesh,Bhopal,462022,178,23,10,211
2025-04-01,Madhya Pradesh,Alirajpur,457990,134,105,15,254
2025-04-01,Madhya Pradesh,Gwalior,475330,81,52,11,144
2025-04-01,Madhya Pradesh,Bhind,477445,109,44,18,171
2025-04-01,Madhya Pradesh,Vidisha,464228,216,62,19,297
2025-04-01,Madhya Pradesh,Dewas,455001,427,65,10,502
2025-04-01,Madhya Pradesh,Khargone,451331,196,43,18,257
2025-04-01,Madhya Pradesh,Gwalior,474001,364,99,43,506
2025-04-01,Madhya Pradesh,Gwalior,474011,97,47,13,157
2025-04-01,Madhya Pradesh,Shivpuri,473670,133,58,11,202
2025-05-01,Madhya Pradesh,Barwani,451447,431,204,20,655
2025-05-01,Madhya Pradesh,Dewas,455001,518,87,17,622
2025-05-01,Madhya Pradesh,Bhind,477116,157,81,16,254
2025-05-01,Madhya Pradesh,Barwani,451551,655,350,13,1018
